slugSeason,Year,Lg,Champion,championID,Runner-Up,runnerupID,Finals MVP,Points,Rebounds,Assists,Win Shares
2018-19,2019,NBA,Toronto Raptors,1610612761,Golden State Warriors,1610612744,K. Leonard,K. Leonard (732),D. Green (223),D. Green (187),K. Leonard (4.9)
2017-18,2018,NBA,Golden State Warriors,1610612744,Cleveland Cavaliers,1610612739,K. Durant,L. James (748),D. Green (222),L. James (198),L. James (5.2)
2016-17,2017,NBA,Golden State Warriors,1610612744,Cleveland Cavaliers,1610612739,K. Durant,L. James (591),K. Love (191),L. James (141),L. James (4.3)
2015-16,2016,NBA,Cleveland Cavaliers,1610612739,Golden State Warriors,1610612744,L. James,K. Thompson (582),D. Green (228),R. Westbrook (198),L. James (4.7)
2014-15,2015,NBA,Golden State Warriors,1610612744,Cleveland Cavaliers,1610612739,A. Iguodala,L. James (601),D. Howard (238),L. James (169),S. Curry (3.9)
2013-14,2014,NBA,San Antonio Spurs,1610612759,Miami Heat,1610612748,K. Leonard,K. Durant (563),T. Duncan (211),R. Westbrook (153),L. James (4.3)
2012-13,2013,NBA,Miami Heat,1610612748,San Antonio Spurs,1610612759,L. James,L. James (596),T. Duncan (214),L. James (152),L. James (5.2)
2011-12,2012,NBA,Miami Heat,1610612748,Oklahoma City Thunder,1610612760,L. James,L. James (697),L. James (224),R. Rondo (227),L. James (5.8)
2010-11,2011,NBA,Dallas Mavericks,1610612742,Miami Heat,1610612748,D. Nowitzki,D. Nowitzki (582),T. Chandler (193),J. Kidd (153),L. James (3.8)
2009-10,2010,NBA,Los Angeles Lakers,1610612747,Boston Celtics,1610612738,K. Bryant,K. Bryant (671),P. Gasol (255),R. Rondo (223),P. Gasol (4.3)
2008-09,2009,NBA,Los Angeles Lakers,1610612747,Orlando Magic,1610612753,K. Bryant,K. Bryant (695),D. Howard (353),R. Rondo (137),L. James (4.8)
2007-08,2008,NBA,Boston Celtics,1610612738,Los Angeles Lakers,1610612747,P. Pierce,K. Bryant (633),K. Garnett (274),R. Rondo (172),K. Garnett (4.1)
2006-07,2007,NBA,San Antonio Spurs,1610612759,Cleveland Cavaliers,1610612739,T. Parker,L. James (501),T. Duncan (229),L. James (159),L. James (3.7)
2005-06,2006,NBA,Miami Heat,1610612748,Dallas Mavericks,1610612742,D. Wade,D. Wade (654),D. Nowitzki (268),S. Nash (204),D. Nowitzki (5.4)
2004-05,2005,NBA,San Antonio Spurs,1610612759,Detroit Pistons,1610612765,T. Duncan,T. Duncan (542),T. Duncan (286),S. Nash (170),C. Billups (4.6)
2003-04,2004,NBA,Detroit Pistons,1610612765,Los Angeles Lakers,1610612747,C. Billups,K. Bryant (539),B. Wallace (328),C. Billups (136),S. O'Neal (3.9)
