Team ID,Team Name,nbaStatR,,,,,,,
1,ATL,1610612737,,,,,,,
2,BOS,1610612738,,,,,,,
19,NOP,1610612740,,,,,,,
5,CHI,1610612741,,,,,,,
7,DAL,1610612742,,,,,,yearSeasonFirst,yearSeasonLast
8,DEN,1610612743,,,,,,,
11,HOU,1610612745,,1,,,,,
13,LAC,1610612746,,2,,,,,
14,LAL,1610612747,,3,,,,,
16,MIA,1610612748,,4,,,,,
17,MIL,1610612749,,5,,,,,
18,MIN,1610612750,,6,,,,,
3,BKN,1610612751,,7,,,,,
20,NYK,1610612752,,8,,,,,
22,ORL,1610612753,,9,,,,,
12,IND,1610612754,,10,,,,,
23,PHI,1610612755,,11,,,,,
24,PHX,1610612756,,12,,,,,
25,POR,1610612757,,13,,,,,
26,SAC,1610612758,,14,,,,,
27,SAS,1610612759,,15,,,,,
21,OKC,1610612760,,16,,,,,
28,TOR,1610612761,,17,,,,,
29,UTA,1610612762,,18,,,,,
15,MEM,1610612763,,19,,,,,
30,WAS,1610612764,,20,,,,,
9,DET,1610612765,,21,,,,,
4,CHA,1610612766,,22,,,,,
6,CLE,1610612739,,23,,,,,
10,GSW,1610612744,,24,,,,,
,,,,25,,,,,
,,,,26,,,,,
,,,,27,,,,,
,,,,28,,,,,
,,,,29,,,,,
,,,,30,,,,,
,,,,31,,,,,
,,,,32,,,,,
,,,,33,,,,,
,,,,34,,,,,
,,,,35,,,,,
,,,,36,,,,,
,,,,37,,,,,
,,,,38,,,,,
,,,,39,,,,,
,,,,40,,,,,
,,,,41,,,,,
,,,,42,,,,,
,,,,43,,,,,
,,,,44,,,,,
,,,,45,,,,,
,,,,"Showing 1 to 35 of 45 entries, 5 total columns",,,,,
