teamID,teamName,odds,nbaStatR,nbaStatRabv
1,Atlanta Hawks,Atlanta,1610612737,ATL
1,Atlanta Hawks,AtlantaHawks,1610612737,ATL
2,Boston Celtics,Boston,1610612738,BOS
3,Brooklyn Nets,Brooklyn,1610612751,BKN
3,Brooklyn Nets,BrooklynNets,1610612751,BKN
4,Charlotte Hornets,Charlotte,1610612766,CHA
4,Charlotte Hornets,CharlotteHornets,1610612766,CHA
5,Chicago Bulls,Chicago,1610612741,CHI
5,Chicago Bulls,ChicagoBulls,1610612741,CHI
6,Cleveland Cavaliers,Cleveland,1610612739,CLE
7,Dallas Mavericks,Dallas,1610612742,DAL
8,Denver Nuggets,Denver,1610612743,DEN
9,Detroit Pistons,Detroit,1610612765,DET
9,Detroit Pistons,DetroitPistons,1610612765,DET
10,Golden State Warriors,GoldenState,1610612744,GSW
11,Houston Rockets,Houston,1610612745,HOU
11,Houston Rockets,HoustonRockets,1610612745,HOU
12,Indiana Pacers,Indiana,1610612754,IND
13,LA Clippers,LA Clippers,1610612746,LAC
13,LA Clippers,LAClippers,1610612746,LAC
14,Los Angeles Lakers,LALakers,1610612747,LAL
15,Memphis Grizzlies,Memphis,1610612763,MEM
15,Memphis Grizzlies,MemphisGrizzlies,1610612763,MEM
16,Miami Heat,Miami,1610612748,MIA
16,Miami Heat,MiamiHeat,1610612748,MIA
17,Milwaukee Bucks,Milwaukee,1610612749,MIL
17,Milwaukee Bucks,MilwaukeeBucks,1610612749,MIL
18,Minnesota Timberwolves,Minnesota,1610612750,MIN
3,Brooklyn Nets,NewJersey,1610612751,BKN
19,New Orleans Pelicans,NewOrleans,1610612740,NOP
20,New York Knicks,NewYork,1610612752,NYK
21,Oklahoma City Thunder,Oklahoma City,1610612760,OKC
21,Oklahoma City Thunder,OklahomaCity,1610612760,OKC
22,Orlando Magic,Orlando,1610612753,ORL
23,Philadelphia 76ers,Philadelphia,1610612755,PHI
23,Philadelphia 76ers,Philadelphia76ers,1610612755,PHI
24,Phoenix Suns,Phoenix,1610612756,PHX
25,Portland Trail Blazers,Portland,1610612757,POR
26,Sacramento Kings,Sacramento,1610612758,SAC
26,Sacramento Kings,SacramentoKings,1610612758,SAC
27,San Antonio Spurs,SanAntonio,1610612759,SAS
21,Oklahoma City Thunder,Seattle,1610612760,OKC
28,Toronto Raptors,Toronto,1610612761,TOR
29,Utah Jazz,Utah,1610612762,UTA
30,Washington Wizards,Washington,1610612764,WAS
