"Season","Date","Rot","VH","Team","1st","2nd","3rd","4th","Final","Open","Close","ML","2H","dateID","teamID"
200708,1030,501,"V","Portland",26,23,28,20,20,184,189.5,900,95,"1030",25
200708,1030,502,"H","SanAntonio",29,30,22,25,25,12.5,13,-1400,5,"1030",27
200708,1030,503,"V","Utah",28,34,24,31,31,214.5,212,100,105.5,"1030",29
200708,1030,504,"H","GoldenState",30,21,21,24,24,3,1,-120,3,"1030",10
200708,1030,505,"V","Houston",16,27,27,25,25,2.5,5,-230,3,"1030",11
200708,1030,506,"H","LALakers",25,18,19,31,31,191,199,190,99,"1030",14
200708,1031,701,"V","Philadelphia",22,28,17,30,30,190,191,255,96.5,"1031",23
200708,1031,702,"H","Toronto",24,34,23,25,25,6.5,6.5,-305,2,"1031",28
200708,1031,703,"V","Washington",23,22,25,33,33,200,1.5,-125,1,"1031",30
200708,1031,704,"H","Indiana",28,20,22,33,33,1.5,203.5,105,105,"1031",12
200708,1031,705,"V","Milwaukee",24,22,16,21,21,198.5,197,245,97,"1031",17
200708,1031,706,"H","Orlando",24,24,35,19,19,8,6.5,-295,3.5,"1031",22
200708,1031,707,"V","Chicago",21,20,32,23,23,188,186,105,3,"1031",5
200708,1031,708,"H","NewJersey",25,31,18,22,22,2,1.5,-125,94,"1031",18
200708,1031,709,"V","Dallas",29,25,24,14,14,3,2.5,-140,91.5,"1031",7
200708,1031,710,"H","Cleveland",15,19,25,15,15,186,184,120,4,"1031",6
200708,1031,711,"V","SanAntonio",23,29,27,25,25,7,6.5,-250,4,"1031",27
200708,1031,712,"H","Memphis",26,26,30,19,19,198,201,210,99.5,"1031",15
200708,1031,713,"V","Sacramento",24,18,19,29,29,193,190.5,425,94,"1031",26
200708,1031,714,"H","NewOrleans",29,28,30,17,17,10,9.5,-525,1.5,"1031",19
200708,1031,715,"V","Seattle",31,27,23,22,22,213,217.5,625,107.5,"1031",21
200708,1031,716,"H","Denver",35,24,27,34,34,10.5,11.5,-825,6.5,"1031",8
200708,1101,501,"V","Detroit",26,22,18,25,25,4,4,-190,,"1101",9
200708,1101,502,"H","Miami",22,20,20,18,18,181,178.5,160,89.5,"1101",16
200708,1101,503,"V","Houston",24,33,21,28,28,191,193,140,98.5,"1101",11
200708,1101,504,"H","Utah",29,20,17,29,29,3.5,3,-160,3.5,"1101",29
200708,1101,505,"V","Phoenix",27,28,24,27,27,9,12,-725,9,"1101",24
200708,1101,506,"H","Seattle",26,32,24,17,17,223,224.5,575,112.5,"1101",21
200708,1102,701,"V","Milwaukee",18,31,20,30,30,200,196.5,150,96.5,"1102",17
200708,1102,702,"H","Charlotte",24,22,25,31,31,2.5,4,-170,4,"1102",4
200708,1102,703,"V","Detroit",28,36,27,25,25,184,183.5,150,93.5,"1102",9
200708,1102,704,"H","Orlando",30,25,23,14,14,2.5,4,-170,4.5,"1102",22
200708,1102,705,"V","Miami",22,25,18,20,20,186.5,192,235,96.5,"1102",16
200708,1102,706,"H","Indiana",24,24,20,19,19,6.5,6.5,-275,4,"1102",12
200708,1102,707,"V","Toronto",21,35,24,26,26,192.5,193.5,155,96,"1102",28
200708,1102,708,"H","NewJersey",21,20,12,16,16,5,4,-175,6,"1102",18
200708,1102,709,"V","Dallas",19,20,30,25,25,6,5.5,-250,5,"1102",7
200708,1102,710,"H","Atlanta",29,17,22,33,33,192,191,210,94.5,"1102",1
200708,1102,711,"V","NewYork",34,20,26,26,26,186.5,186,210,94,"1102",20
200708,1102,712,"H","Cleveland",32,23,20,35,35,7.5,6,-250,4,"1102",6
200708,1102,713,"V","Washington",18,18,21,26,26,208,205.5,285,2.5,"1102",30
200708,1102,714,"H","Boston",21,37,21,24,24,6,7.5,-335,105,"1102",2
200708,1102,715,"V","Portland",21,28,15,29,29,192,203,275,102.5,"1102",25
200708,1102,716,"H","NewOrleans",31,26,30,26,26,8,7.5,-325,2,"1102",19
200708,1102,717,"V","Denver",21,28,25,25,25,8.5,7.5,-375,6.5,"1102",8
200708,1102,718,"H","Minnesota",27,25,25,14,14,209,208.5,315,104,"1102",18
200708,1102,719,"V","Philadelphia",28,14,29,25,25,189,190,400,94,"1102",23
200708,1102,720,"H","Chicago",20,21,20,24,24,9.5,9.5,-500,7,"1102",5
200708,1102,721,"V","Sacramento",10,13,31,26,26,190.5,191,1200,92.5,"1102",26
200708,1102,722,"H","SanAntonio",17,33,21,25,25,14.5,14.5,-2000,2,"1102",27
200708,1102,723,"V","LALakers",33,30,32,24,24,217,215.5,365,107.5,"1102",14
